"","X","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"575",14,"67awxiNHNyjMXhVgsHuIrs",0.818,0.799,1,-4.1,0,0.156,0.00107,0.128,0.057,0.0953,100.014,213733,4,"spotify:track:67awxiNHNyjMXhVgsHuIrs","https://api.spotify.com/v1/audio-analysis/67awxiNHNyjMXhVgsHuIrs"
"576",15,"48RrDBpOSSl1aLVCalGl5C",0.786,0.857,9,-3.765,1,0.0734,0.0514,0,0.112,0.602,110.038,250189,4,"spotify:track:48RrDBpOSSl1aLVCalGl5C","https://api.spotify.com/v1/audio-analysis/48RrDBpOSSl1aLVCalGl5C"
"577",16,"6Vc5wAMmXdKIAM7WUoEb7N",0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0796,141.284,229400,3,"spotify:track:6Vc5wAMmXdKIAM7WUoEb7N","https://api.spotify.com/v1/audio-analysis/6Vc5wAMmXdKIAM7WUoEb7N"
"578",17,"3G6hD9B2ZHOsgf4WfNu7X1",0.696,0.59,6,-7.428,1,0.0904,0.151,0,0.247,0.452,99.984,193059,4,"spotify:track:3G6hD9B2ZHOsgf4WfNu7X1","https://api.spotify.com/v1/audio-analysis/3G6hD9B2ZHOsgf4WfNu7X1"
"579",18,"6GmUVqe73u5YRfUUynZK6I",0.479,0.545,7,-7.346,1,0.0688,0.365,0,0.0963,0.239,74.897,252733,4,"spotify:track:6GmUVqe73u5YRfUUynZK6I","https://api.spotify.com/v1/audio-analysis/6GmUVqe73u5YRfUUynZK6I"
"580",19,"2dLLR6qlu5UJ5gk0dKz0h3",0.616,0.432,7,-9.546,1,0.133,0.106,0,0.132,0.313,84.778,190185,4,"spotify:track:2dLLR6qlu5UJ5gk0dKz0h3","https://api.spotify.com/v1/audio-analysis/2dLLR6qlu5UJ5gk0dKz0h3"
"581",20,"0qcr5FMsEO85NAQjrlDRKo",0.539,0.488,8,-6.864,1,0.0318,0.556,0,0.122,0.373,137.073,223840,4,"spotify:track:0qcr5FMsEO85NAQjrlDRKo","https://api.spotify.com/v1/audio-analysis/0qcr5FMsEO85NAQjrlDRKo"
"582",21,"4h8VwCb1MTGoLKueQ1WgbD",0.518,0.784,2,-5.659,1,0.0524,0.00346,0.00187,0.171,0.609,124.102,247427,4,"spotify:track:4h8VwCb1MTGoLKueQ1WgbD","https://api.spotify.com/v1/audio-analysis/4h8VwCb1MTGoLKueQ1WgbD"
"583",22,"3LlAyCYU26dvFZBDUIMb7a",0.499,0.73,3,-2.831,1,0.0367,0.23,0.00018,0.378,0.339,90.058,175200,4,"spotify:track:3LlAyCYU26dvFZBDUIMb7a","https://api.spotify.com/v1/audio-analysis/3LlAyCYU26dvFZBDUIMb7a"
"584",23,"4nVBt6MZDDP6tRVdQTgxJg",0.6,0.663,3,-5.802,1,0.0477,0.225,0,0.119,0.291,121.07,245493,4,"spotify:track:4nVBt6MZDDP6tRVdQTgxJg","https://api.spotify.com/v1/audio-analysis/4nVBt6MZDDP6tRVdQTgxJg"
