Rank,Song,Artist,Year,Spotify ID
74,Brave,Sara Bareilles,2014,6Uy6K3KdmUdAfelUp0SeXn
75,Sweater Weather,The Neghbourhood,2014,2QjOHCTQ1Jl3zawyYOpxh6
76,Leave the Night On,Sam Hunt,2014,3wx2kQWPn9p5UppQbNhPAk
77,New Flame,Chris Brown,2014,3nw9J97nUugT84SIJdjhAV
78,Love Never Felt So Good,Michael Jackson & Justin Timberlake,2014,48td6xvpokdYwvbl3JIiXP
79,Drunk on a Plane,Dierks Bentley,2014,1soxUgYIZb1qx1c7o1Lc7z
80,BIRTHDAY,Katy Perry,2014,2xLOMHjkOK8nzxJ4r6yOKR
81,BARTENDER,Lady Antebellum,2014,6olKv2HP3XgBpvVxAswowe
82,LA LA LA,Naughty Boy,2014,36pLU2ywVeBKEF0rrKtmCB
83,BLURRED LINES,Robin Thicke,2014,0n4bITAu0Y0nigrz3MFJMb
84,DO WHAT U WANT,Lady Gaga,2014,44JqKUXiWTaRrDQUx7CwsT
85,CAN'T REMEMBER TO FORGET YOU,Shakira,2014,0BBj0SW3vef8UNzTg4lwH9
86,AMNESIA,5 Seconds Of Summer,2014,1JCCdiru7fhstOIF4N7WJC
87,NO MEDIOCRE,T.I.,2014,38aECKrbMv2F5FsYYCewCQ
88,COME WITH ME NOW,KONGOS,2014,2kWowW0k4oFymhkr7LmvzO
89,BELIEVE ME,Lil Wayne,2014,6t2eIONH4Sax3R21QWiKNp
90,23,Mike WiLL Made-It,2014,20FZrLl9zSbO9b3DhaqO6M
91,BEACHIN',Jake Owen,2014,5dNGORzxFb5z3v7vSAFkTU
92,WHITE WALLS,Macklemore & Ryan Lewis,2014,6I3KeXBT0E9MoMqYz8srVq
93,SHE LOOKS SO PERFECT,5 Seconds Of Summer,2014,1gugDOSMREb34Xo0c1PlxM
94,STAY THE NIGHT,Zedd,2014,2QtJA4gbwe1AcanB2p21aP
95,PARTITION,Beyonce,2014,5hgnY0mVcVetszbb85qeDg
96,STUDIO,ScHoolboy Q,2014,29gsi1zZrZxdStACmTQB0Z
97,0 TO 100 / THE CATCH UP,Drake,2014,4jtyUzZm9WLc2AdaJ1dso7
98,I DON'T DANCE,Lee Brice,2014,5aj0xPGiEUN3aI2oOYu14S
99,SOMETHIN' BAD,Miranda Lambert Duet With Carrie Underwood,2014,6s9m5J92By7jii22Q2XtY2
100,ADORE YOU,Miley Cyrus,2014,5AnCLGg35ziFOloEnXK4uu
