"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness","duration_ms"
"62","Real Good Man","Tim McGraw",2003,"0VnaN6GDSyzGNDP49MViC1",0.56,0.827,89.93,-5.393,0.0266,0.00986,1.13e-05,0.328,254600
"63","Say Yes","Floetry",2003,"3Noa5kppo2crIEMpwOmsHf",0.747,0.398,117.901,-12.932,0.0743,0.211,1.42e-06,0.113,268373
"64","Bring Me To Life","Evanescence",2003,"2gpffYGJGvhgqgA0Aw8wKi",0.328,0.941,189.961,-3.185,0.0975,0.00691,1.35e-06,0.249,235893
"65","Get Low","Ying Yang Twins",2003,"0r2Bul2NuCViraT2zX1l5j",0.521,0.625,101.019,-7.47,0.067,0.0301,0,0.121,334067
"66","21 Questions","50 Cent",2003,"5LUparNaT5mHPHTIjNvzB5",0.573,0.825,89.251,-3.988,0.322,0.369,0.000185,0.0422,224427
"67","I Know What You Want","Busta Rhymes",2003,"440JHgcmlgu65MbKBg20ba",0.563,0.751,85.789,-4.325,0.317,0.0141,0,0.636,324307
"68","Drift Away","Uncle Kracker",2003,"0RFgvrhkf9FiDRLA0BhzpZ",0.583,0.66,151.956,-5.078,0.0377,0.181,0,0.0979,255560
"69","Into You (feat. Ashanti)","Fabolous",2003,"4b5aJdOgxps6z0dPe6wCHF",0.726,0.568,91.906,-8.358,0.0298,0.179,0,0.0488,274333
"70","Can't Let You Go (feat. Mike Shorey & Lil' Mo)","Fabolous",2003,"6lrRIfQDcikJ5y5DtyZPuJ",0.646,0.6,192.082,-6.569,0.458,0.231,0,0.0794,223973
"71","Mesmerize","Ja Rule",2003,"2iclfHORMqpR3TxuhwVRhD",0.762,0.641,90.089,-6.784,0.209,0.0554,0,0.454,278720
"72","Air Force Ones","Nelly",2003,"7kAFSrTIOiVZ0gnHBuAH3l",0.777,0.474,164.123,-10.211,0.316,0.087,0,0.089,304000
"73","Beautiful - Feat. Pharrell, Uncle Charlie Wilson","Snoop Dogg",2003,"4675yUu8AUbE72T94BkLCD",0.893,0.74,101.025,-4.936,0.132,0.299,0,0.0881,299147
"74","Gossip Folks (feat. Ludacris)","Missy Elliott",2003,"75DjPjiIp2fvJDjtt41Jfs",0.707,0.538,121.732,-5.264,0.505,0.362,0,0.317,234893
"75","Stand Up","Ludacris",2003,"2CtCwQhY0ZLvr8L2l8Bo6e",0.745,0.841,97.909,-4.774,0.357,0.358,0,0.111,213760
"76","Underneath It All","No Doubt",2003,"6wFemJ1Oh4gnTalNKgtvBg",0.727,0.73,138.177,-4.731,0.0812,0.247,0,0.39,302040
"77","Can't Hold Us Down","Christina Aguilera",2003,"0cv1Mnb47oMvjVKMc2cyZw",0.859,0.658,98.989,-4.481,0.192,0.0326,0.00181,0.0651,255267
"78","The Jump Off","Lil' Kim",2003,"08cqYeYWTjDUqNLVOiJMUF",0.837,0.736,104.907,-8.367,0.378,0.225,0,0.0549,234093
"79","Hell Yeah","Ginuwine",2003,"1p149YJfXkHkSzYp4UZUxV",0.631,0.714,87.98,-7.259,0.355,0.0272,0,0.564,338733
"80","Beer For My Horses","Toby Keith",2003,"7E2DqvnVtbIrFrL5X6YH9Q",0.721,0.85,118.991,-5.207,0.0511,0.353,0,0.0459,204000
"81","Holidae In","Chingy",2003,"0FmCLEHfINGqwlyzvklNqy",0.81,0.791,153.067,-5.909,0.181,0.0893,0,0.0838,314352
"82","Suga Suga","Baby Bash",2003,"14B2bUopOga5V3ypld7d6n",0.694,0.752,82.529,-3.071,0.26,0.635,6.44e-06,0.114,243493
"83","I Want You","Thal<U+00ED>a",2003,"1HCPjfa02m5JwcO37LHfYb",0.803,0.773,91.915,-3.628,0.121,0.0107,0,0.0632,226027
"84","All I Have","Jennifer Lopez",2003,"3kgutGd839IOYRl6ekeq6V",0.699,0.668,83.074,-5.305,0.106,0.265,0,0.141,254467
"85","Baby Boy (feat. Beyonce)","Sean Paul",2003,"29LHe8kG3PraghUZOZYsw4",0.658,0.621,91.267,-5.725,0.231,0.0667,2.46e-06,0.142,246707
"86","Crazy In Love","Beyonc<U+00E9>",2003,"5IVuqXILoxVWvWEPm82Jxr",0.646,0.77,99.165,-6.596,0.226,0.00249,0,0.0715,236133
"87","Put That Woman First","Jaheim",2003,"0FPuNzimOamZvt7ysiP7Pt",0.651,0.527,78.927,-8.586,0.178,0.556,0,0.209,246107
"88","Your Body Is a Wonderland","John Mayer",2003,"3wmQ8VhzARrFQj7GcnhtBM",0.647,0.729,94.01,-6.251,0.0236,0.0206,0.0489,0.134,249627
