"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness"
"74","WOMANIZER","Britney Spears",2008,"4fixebDZAVToLbUCuEloa2",0.724,0.695,139,-5.226,0.0622,0.073,0,0.0889
"75","JUST FINE","Mary J. Blige",2008,"33vzOPcd9FRirYGlCu32x4",0.924,0.771,123.018,-3.552,0.0561,0.0334,0.00011,0.119
"76","PIECE OF ME","Britney Spears",2008,"2EvwLVrnYbCZEG6Kx5DCRy",0.769,0.638,115.007,-5.054,0.216,0.0902,0,0.0857
"77","THE BOSS","Rick Ross Featuring T-Pain",2008,"3n5qF6aprwEIjHWuH5jECM",0.399,0.857,85.937,-4.086,0.336,0.00944,0,0.319
"78","ALL SUMMER LONG","Kid Rock",2008,"5rX6C5QVvvZB7XckETNych",0.7,0.864,102.997,-3.629,0.0283,0.0212,0,0.0956
"79","CAN'T HELP BUT WAIT","Trey Songz",2008,"5k3VjTwIsOjQ2woGz3Yx71",0.699,0.699,94.977,-5.564,0.0737,0.358,0,0.0912
"80","IN LOVE WITH A GIRL","Gavin DeGraw",2008,"3zcmWxxUA7Em7X3IBqZGUo",0.439,0.906,161.905,-4.8,0.0439,0.0193,0,0.373
"81","MY LIFE","The Game Featuring Lil Wayne",2008,"4GXH9A6fzuE0MNtqtzjhLg",0.671,0.765,148.11,-5.093,0.356,0.0773,0,0.0877
"82","I REMEMBER","Keyshia Cole",2008,"1dObJGQUgJ7tWxJ0byON6W",0.549,0.756,129.205,-4.412,0.0462,0.234,0,0.0894
"83","FLASHING LIGHTS","Kanye West Featuring Dwele",2008,"0ua0Go4NN4Td7l0Zre6Ce3",0.634,0.649,90.482,-7.505,0.0486,0.0315,0,0.482
"84","MRS. OFFICER","Lil Wayne Featuring Bobby Valentino & Kidd Kidd",2008,"0EHR9OObFtjlhQB8wSt1m7",0.916,0.568,112.009,-5.358,0.13,0.248,0,0.081
"85","7 THINGS","Miley Cyrus",2008,"5ecZWU5uQOiCVSnPxBZNmT",0.599,0.893,107.033,-4.404,0.0376,0.018,0,0.0772
"86","YOU'RE GONNA MISS THIS","Trace Adkins",2008,"68Q1r5zDnnYaHkh80yal4A",0.5,0.665,154.997,-7.157,0.0355,0.0237,6.41e-05,0.0994
"87","LOVE REMAINS THE SAME","Gavin Rossdale",2008,"4dOXc4Suk5eig0jiCqCN5Y",0.406,0.632,149.258,-5.115,0.0344,0.236,0,0.18
"88","FEELS LIKE TONIGHT","Daughtry",2008,"2tVCFmn2zKg2wGXS1TCIIA",0.483,0.907,130.984,-3.166,0.045,0.000822,0,0.117
"89","THE WAY I ARE","Timbaland Featuring Keri Hilson",2008,"2bLqfJjuC5syrsgDsZfGmn",0.734,0.808,114.764,-6.448,0.106,0.189,0.699,0.315
"90","ADDICTED","Saving Abel",2008,"3pxCXv0NACYfYnLjFcQW5D",0.512,0.865,138.017,-4.146,0.0338,0.000821,0,0.0982
"91","INTO THE NIGHT","Santana Featuring Chad Kroeger",2008,"5Hv1QAbRWrUSUHaT0CmnMS",0.595,0.844,127.981,-4.678,0.0331,0.0137,0,0.234
"92","HEAVEN SENT","Keyshia Cole",2008,"2E90KUsor4U2abOJGFKtfx",0.538,0.728,78.427,-3.663,0.0524,0.074,0,0.0776
"93","SHE GOT IT","2 Pistols Featuring T-Pain & Tay Dizm",2008,"11WuptzKtcVfPMYaf5aook",0.406,0.732,133.817,-6.191,0.128,0.00436,0,0.358
