"","Song","Artist","Year","Spotify.ID","danceability","energy","tempo","loudness","speechiness","acousticness","instrumentalness","liveness"
"256","Burnin' it Down","Jason Aldean",2014,"4J37kFNUhbX5NV1VFdVLSH",0.676,0.795,135.924,-6.648,0.0485,0.307,6.61e-06,0.0971
"257","Play It Again","Luke Bryan",2014,"03fT3OHB9KyMtGMt2zwqCT",0.51,0.898,144.056,-3.15,0.0696,0.0832,0,0.071
"258","2 On","Tinashe",2014,"3jVtllWS5CFFWLQng8sKsr",0.742,0.595,101.013,-7.51,0.107,0.15,0,0.111
"259","Dirt","Florida Georgia Line",2014,"5CXnIPD6rTjszYYQm6fY2P",0.554,0.875,121.976,-4.185,0.0487,0.0661,1.59e-05,0.118
"260","Love Runs Out","One Republic",2014,"5BJSZocnCeSNeYMj3iVqM7",0.714,0.933,120.019,-3.714,0.0571,0.165,0,0.111
"261","Bottoms Up","Brantley Gilbert",2014,"477pWnF7WFWb9Qs6g8rs4J",0.479,0.87,170.047,-5.739,0.0442,0.143,0,0.129
"262","Shower","Becky G",2014,"3DmW6y7wTEYHJZlLo1r6XJ",0.699,0.529,119.987,-7.548,0.0487,0.0317,3.59e-05,0.285
"263","Me and My Broken Heart","Rixton",2014,"1oew3nFNY3vMacJAsvry0S",0.544,0.774,174.121,-4.21,0.0339,0.00682,0,0.135
"264","Animals","Martin Garrix",2014,"6JEntXLt4z98CcDtIH9sU7",0.675,0.866,128.007,-6.454,0.039,0.00181,0.746,0.415
"265","American Kids","Kenny Chesney",2014,"1dgWTMoHwTUnQhOQ8SR5fV",0.733,0.589,170.097,-7.37,0.1,0.0476,5.85e-06,0.0366
"266","Brave","Sara Bareilles",2014,"6Uy6K3KdmUdAfelUp0SeXn",0.551,0.836,185.063,-3.838,0.0524,0.00502,2.1e-05,0.0425
"267","Sweater Weather","The Neghbourhood",2014,"2QjOHCTQ1Jl3zawyYOpxh6",0.612,0.807,124.053,-2.81,0.0336,0.0495,0.0177,0.101
"268","Leave the Night On","Sam Hunt",2014,"3wx2kQWPn9p5UppQbNhPAk",0.516,0.953,171.971,-3.828,0.0624,0.0996,0,0.349
"269","New Flame","Chris Brown",2014,"3nw9J97nUugT84SIJdjhAV",0.709,0.638,141.994,-4.3,0.0405,0.0649,0,0.0969
"270","Love Never Felt So Good","Michael Jackson & Justin Timberlake",2014,"48td6xvpokdYwvbl3JIiXP",0.775,0.719,117.513,-6.212,0.0435,0.132,1.79e-06,0.0662
"271","Drunk on a Plane","Dierks Bentley",2014,"1soxUgYIZb1qx1c7o1Lc7z",0.439,0.754,205.958,-5.566,0.0323,0.00512,7.45e-06,0.186
"272","BIRTHDAY","Katy Perry",2014,"2xLOMHjkOK8nzxJ4r6yOKR",0.716,0.669,125.975,-5.114,0.0708,0.103,1.8e-06,0.116
"273","BARTENDER","Lady Antebellum",2014,"6olKv2HP3XgBpvVxAswowe",0.626,0.936,101.01,-3.86,0.036,0.016,4.41e-06,0.337
"274","LA LA LA","Naughty Boy",2014,"36pLU2ywVeBKEF0rrKtmCB",0.77,0.649,125.096,-5.207,0.0307,0.113,0,0.0907
"275","BLURRED LINES","Robin Thicke",2014,"0n4bITAu0Y0nigrz3MFJMb",0.862,0.608,120.002,-4.762,0.0402,0.00373,6.14e-06,0.0856
"276","DO WHAT U WANT","Lady Gaga",2014,"44JqKUXiWTaRrDQUx7CwsT",0.798,0.821,97.492,-4.386,0.0683,0.316,8.6e-06,0.0948
"277","CAN'T REMEMBER TO FORGET YOU","Shakira",2014,"0BBj0SW3vef8UNzTg4lwH9",0.697,0.813,137.976,-3.399,0.0679,0.132,0,0.129
"278","AMNESIA","5 Seconds Of Summer",2014,"1JCCdiru7fhstOIF4N7WJC",0.572,0.499,101.593,-5.237,0.0311,0.0283,0,0.213
"279","NO MEDIOCRE","T.I.",2014,"38aECKrbMv2F5FsYYCewCQ",0.78,0.45,95.486,-9.539,0.0465,0.0826,0,0.0809
"280","COME WITH ME NOW","KONGOS",2014,"2kWowW0k4oFymhkr7LmvzO",0.654,0.726,103.987,-3.803,0.0401,0.0311,6.35e-05,0.0618
"281","BELIEVE ME","Lil Wayne",2014,"6t2eIONH4Sax3R21QWiKNp",0.84,0.483,91.992,-8.838,0.157,0.273,0,0.111
"282","23","Mike WiLL Made-It",2014,"20FZrLl9zSbO9b3DhaqO6M",0.863,0.605,140.031,-5.231,0.0572,0.000366,3.71e-06,0.132
"283","BEACHIN'","Jake Owen",2014,"5dNGORzxFb5z3v7vSAFkTU",0.527,0.902,181.964,-5.352,0.0601,0.344,4.63e-05,0.0669
"284","WHITE WALLS","Macklemore & Ryan Lewis",2014,"6I3KeXBT0E9MoMqYz8srVq",0.767,0.782,116.491,-5.545,0.14,0.0541,0,0.338
"285","SHE LOOKS SO PERFECT","5 Seconds Of Summer",2014,"1gugDOSMREb34Xo0c1PlxM",0.493,0.956,160.006,-4.221,0.138,0.000668,0,0.416
"286","STAY THE NIGHT","Zedd",2014,"2QtJA4gbwe1AcanB2p21aP",0.595,0.746,127.96,-3.115,0.0398,0.134,0,0.0863
"287","PARTITION","Beyonce",2014,"5hgnY0mVcVetszbb85qeDg",0.412,0.441,185.571,-11.523,0.291,0.0296,0.0726,0.306
"288","STUDIO","ScHoolboy Q",2014,"29gsi1zZrZxdStACmTQB0Z",0.644,0.581,133.965,-7.688,0.0505,0.0529,0,0.0611
"289","0 TO 100 / THE CATCH UP","Drake",2014,"4jtyUzZm9WLc2AdaJ1dso7",0.707,0.709,89.094,-3.979,0.34,0.763,0,0.274
"290","I DON'T DANCE","Lee Brice",2014,"5aj0xPGiEUN3aI2oOYu14S",0.587,0.559,92.036,-7.742,0.0321,0.399,6.69e-06,0.0992
"291","SOMETHIN' BAD","Miranda Lambert Duet With Carrie Underwood",2014,"6s9m5J92By7jii22Q2XtY2",0.68,0.888,90.076,-5.308,0.055,0.0527,2.82e-06,0.0575
"292","ADORE YOU","Miley Cyrus",2014,"5AnCLGg35ziFOloEnXK4uu",0.583,0.655,119.759,-5.407,0.0315,0.111,3.57e-06,0.113
"293","THRIFT SHOP","Macklemore & Ryan Lewis Featuring Wanz",2013,"1CmUZGtH29Kx36C1Hleqlz",0.781,0.526,94.992,-6.985,0.293,0.0619,0,0.0457
"294","BLURRED LINES","Robin Thicke",2013,"0n4bITAu0Y0nigrz3MFJMb",0.862,0.608,120.002,-4.762,0.0402,0.00373,6.14e-06,0.0856
"295","RADIOACTIVE","Imagine Dragons",2013,"4G8gkOterJn0Ywt6uhqbhp",0.478,0.799,136.268,-3.614,0.0638,0.126,0.000106,0.76
"296","HARLEM SHAKE","Baauer",2013,"01XFgRZfZI7oBagNf1Loml",0.452,0.794,137.825,-5.151,0.0483,0.0111,0.00182,0.416
"297","CAN'T HOLD US","Macklemore & Ryan Lewis",2013,"3bidbhpOYeV4knp8AIu8Xn",0.641,0.922,146.078,-4.457,0.0786,0.0291,0,0.0862
"298","MIRRORS","Justin Timberlake",2013,"2JZKXgq5zsokN01KWyiY6n",0.574,0.512,76.899,-6.664,0.0503,0.234,0,0.0946
"299","JUST GIVE ME A REASON","P!nk",2013,"4VC5nFbYO4avKksJ9jN4pY",0.778,0.547,95.002,-7.273,0.0489,0.346,0.000302,0.132
"300","WHEN I WAS YOUR MAN","Bruno Mars",2013,"0nJW01T7XtvILxQgC5J7Wh",0.612,0.28,72.795,-8.648,0.0434,0.932,0,0.088
"301","CRUISE","Florida Georgia Line",2013,"0i5el041vd6nxrGEU8QRxy",0.464,0.945,148.012,-3.342,0.0354,0.0189,0,0.0575
"302","ROAR","Katy Perry",2013,"6F5c58TMEs1byxUstkzVeM",0.671,0.766,89.968,-4.81,0.0323,0.00569,6.85e-06,0.549
"303","LOCKED OUT OF HEAVEN","Bruno Mars",2013,"3w3y8KPTfNeOKPiqUTakBh",0.726,0.698,143.994,-4.165,0.0431,0.049,0,0.309
"304","HO HEY","The Lumineers",2013,"0W4Kpfp1w2xkY3PrV714B7",0.685,0.466,79.936,-9.074,0.0304,0.794,2.06e-06,0.0915
"305","STAY","Rihanna",2013,"1dEy9Pl81QopSxNsPxXQxv",0.619,0.324,111.927,-10.146,0.0271,0.949,5.42e-05,0.114
"306","GET LUCKY","Daft Punk",2013,"2Foc5Q5nqNiosCNqttzHof",0.794,0.811,116.047,-8.966,0.038,0.0426,1.07e-06,0.101
"307","ROYALS","Lorde",2013,"2dLLR6qlu5UJ5gk0dKz0h3",0.616,0.432,84.778,-9.546,0.133,0.106,0,0.132
"308","WE CAN'T STOP","Miley Cyrus",2013,"2y4lAQpi5VTNLu2ldeTdUH",0.613,0.622,80.003,-5.794,0.0334,0.00882,0,0.37
"309","WRECKING BALL","Miley Cyrus",2013,"2vwlzO0Qp8kfEtzTsCXfyE",0.53,0.422,119.964,-6.262,0.0342,0.407,0,0.107
"310","WAKE ME UP!","Avicii",2013,"4h8VwCb1MTGoLKueQ1WgbD",0.518,0.784,124.102,-5.659,0.0524,0.00346,0.00187,0.171
"311","SUIT & TIE","Justin Timberlake",2013,"6dEnpbXyamib2EJnRhTt0G",0.795,0.596,101.985,-3.799,0.219,0.103,0,0.164
"312","CUPS (PITCH PERFECT'S WHEN I'M GONE)","Anna Kendrick",2013,"2sCl0FFOzZSmYZs90zOpd1",0.886,0.448,129.966,-8.866,0.112,0.0582,0.00658,0.035
"313","SCREAM & SHOUT","will.i.am & Britney Spears",2013,"2iJuuzV8P9Yz0VSurttIV5",0.772,0.687,130.023,-6.834,0.0719,0.0225,5.93e-05,0.129
"314","CLARITY","Zedd",2013,"60wwxj6Dd9NJlirf84wr2c",0.514,0.776,127.975,-3.393,0.0783,0.0371,0,0.0735
"315","SAIL","AWOLNATION",2013,"5xhQChGGhKLWqBqX4XhtYE",0.825,0.435,119.038,-9.582,0.0568,0.452,0.609,0.0953
"316","DON'T YOU WORRY CHILD","Swedish House Mafia",2013,"2V65y3PX4DkRhy1djlxd9p",0.612,0.84,129.042,-3.145,0.0509,0.112,0,0.116
"317","DIAMONDS","Rihanna",2013,"7Kt59L2ZZGtOnIhvMwzG6f",0.555,0.709,91.982,-4.928,0.0452,0.00118,0,0.113
"318","I LOVE IT","Icona Pop",2013,"5hRzAbY2AAO258hL6oqsqO",0.624,0.803,97.027,-3.312,0.0382,0.00925,3.75e-05,0.613
"319","SAFE AND SOUND","Capital Cities",2013,"0z9UVN8VBHJ9HdfYsOuuNf",0.476,0.3,144.163,-10.737,0.0277,0.893,1.53e-05,0.0732
"320","TREASURE","Bruno Mars",2013,"55h7vJchibLdUkxdlX3fK7",0.874,0.692,116.017,-5.28,0.0431,0.0412,7.24e-05,0.324
"321","THE WAY","Ariana Grande",2013,"06EL94D0TA27Ik0Ke5usbj",0.644,0.879,82.518,-3.179,0.147,0.325,0,0.0742
"322","STARTED FROM THE BOTTOM","Drake",2013,"6V2D8Lls36APk0THDjBDfE",0.793,0.512,86.35,-7.871,0.188,0.0378,0,0.16
"323","COME & GET IT","Selena Gomez",2013,"7Gkphzdh5ouurEt7JT49Yu",0.523,0.792,80.142,-4.125,0.0512,0.00946,0.000108,0.0639
"324","DAYLIGHT","Maroon 5",2013,"6TwfdLbaxTKzQi3AgsZNzx",0.658,0.651,119.991,-5.482,0.0271,0.00344,0,0.218
"325","FEEL THIS MOMENT","Pitbull",2013,"0Hf4aIJpsN4Os2f0y0VqWl",0.673,0.758,135.956,-3.632,0.158,0.039,0,0.341
"326","APPLAUSE","Lady Gaga",2013,"2Zj4FUsMtu9PMuJsHbGbdv",0.674,0.788,139.908,-4.281,0.0537,0.0253,2.04e-06,0.13
"327","ONE MORE NIGHT","Maroon 5",2013,"4XNrMwGx1SqP01sqkGTDmo",0.71,0.8,93.01,-3.439,0.0339,0.0563,0,0.0834
"328","MY SONGS KNOW WHAT YOU DID IN THE DARK (LIGHT EM UP)","Fall Out Boy",2013,"7s0lDK7y3XLmI7tcsRAbW0",0.561,0.927,152.011,-4.374,0.0619,0.0313,2.34e-05,0.529
"329","F**KIN PROBLEMS","A$AP Rocky",2013,"2VaKdAeMHqHzPjPrSU0Svb",0.438,0.983,191.9,-3.04,0.0894,0.00159,0.000101,0.112
"330","BEAUTY AND A BEAT","Justin Bieber",2013,"190jyVPHYjAqEaOGmMzdyk",0.596,0.83,127.965,-4.722,0.0635,0.00137,3.96e-05,0.065
"331","SWEET NOTHING","Calvin Harris",2013,"24LS4lQShWyixJ0ZrJXfJ5",0.573,0.929,127.934,-3.942,0.109,0.197,0.000112,0.0567
"332","SUMMERTIME SADNESS","Lana Del Rey & Cedric Gervais",2013,"6PUIzlqotEmPuBfjbwYWOB",0.564,0.811,126.007,-5.734,0.0513,0.0153,8.72e-06,0.125
"333","HOME","Phillip Phillips",2013,"2ZQyksYO4zzhyHNcueL0CP",0.592,0.792,121.001,-5.884,0.0335,0.0215,0,0.159
"334","IT'S TIME","Imagine Dragons",2013,"6BtmXhTJMM9sBTHeYYASGz",0.656,0.879,104.997,-4.614,0.0362,0.0178,0,0.109
"335","POWER TRIP","J. Cole",2013,"7FOJvA3PxiIU0DN3JjQ7jT",0.667,0.61,99.991,-7.054,0.217,0.322,0.000203,0.426
"336","GIRL ON FIRE","Alicia Keys",2013,"4esOae7i4rqTbAu9o5Pxco",0.482,0.706,92.494,-5.762,0.0609,0.135,0.00106,0.105
"337","HEART ATTACK","Demi Lovato",2013,"1V6gIisPpYqgFeWbMLI0bA",0.503,0.801,173.937,-4.735,0.0757,0.0781,0,0.248
